FECHA,PRECIP,EVAP,TMAX,TMIN
2/1/65,15,4,29,21
3/1/65,3,5,25,18
4/1/65,0,7.1,25,17
5/1/65,1,8.9,26,17
6/1/65,1,4.8,26.5,18.5
7/1/65,0,6,25,18.5
8/1/65,0,1.3,28,23
9/1/65,14.5,5.7,26.5,21
10/1/65,0,3.7,25,20
11/1/65,0,5.5,26,19
12/1/65,0,1.9,26,19
13/01/1965,0,8.6,26,20
14/01/1965,0,8.1,26,19
15/01/1965,0,5,27,17
16/01/1965,6.2,2.5,26,16.5
17/01/1965,0,5.9,24,15
18/01/1965,0,4.3,23,11
19/01/1965,0,7,24,10
20/01/1965,2,8,27,15
21/01/1965,4,5.2,26.5,20
22/01/1965,0,5.3,26,20
23/01/1965,0,6.3,26,22
24/01/1965,1,4.4,30,20.5
25/01/1965,0,3.5,26,23.5
26/01/1965,1,6.9,27,20
27/01/1965,0,4.7,28,19
28/01/1965,0,4.8,27,19.5
29/01/1965,0,4.7,24,17
30/01/1965,0,6,26,15
31/01/1965,0,5.3,26,16.5
1/2/65,0,8.3,27,19
2/2/65,0,6.8,28,24
3/2/65,12,2.9,27,25
4/2/65,0,8.1,26,21
5/2/65,0,5.9,27,23
6/2/65,0,6.5,27,14
7/2/65,0,9.6,26,22
8/2/65,0,3.2,27,24
9/2/65,0,4.4,26,24
10/2/65,0,5.4,27,23
11/2/65,0,5.1,26,24
12/2/65,0,6.4,27,24
13/02/1965,0,7.8,27,24
14/02/1965,20,5.6,25,24
15/02/1965,0,4.7,25,22
16/02/1965,0,8.8,25,20
17/02/1965,0,8.1,27,20
18/02/1965,0,7.9,25,20
19/02/1965,4,4.8,28,23
20/02/1965,0,4.7,27,19
21/02/1965,0,5.3,26,23
22/02/1965,1,4.9,27,24
23/02/1965,0,5.7,27,19
24/02/1965,1,5.8,27,23
25/02/1965,0,4.5,25,17
26/02/1965,0,5.5,24,11
27/02/1965,0,4.9,25,15
28/02/1965,0,7.6,26,20
1/3/65,0,8.3,26.5,20.5
2/3/65,0,3.1,25,22.5
3/3/65,2,1.6,24,21
4/3/65,1,5.3,28,21
5/3/65,0,5.8,18,15
6/3/65,0,6.9,27,15
7/3/65,0,5.5,30.5,10
8/3/65,0,8,28,12
9/3/65,0,8.1,29,13
10/3/65,0,8.1,30.5,19
11/3/65,0,7.8,30,18
12/3/65,0,5.3,28,19
13/03/1965,0,5,31.5,20
14/03/1965,0,2.2,27,21
15/03/1965,0,6.9,27,20
16/03/1965,0,6.9,26,20.5
17/03/1965,0,7.5,27,23
18/03/1965,0,9.1,27,25
19/03/1965,0,6.3,27,25
20/03/1965,0,9.4,28,21.5
21/03/1965,0,4,26,20
22/03/1965,0,6.4,27,24
23/03/1965,0,4.1,28,23
24/03/1965,0,9.5,26,22.5
25/03/1965,0,7.1,27,24
26/03/1965,0,8.6,27,25
27/03/1965,0,8.8,27.5,24
28/03/1965,0,7.1,27,24.5
29/03/1965,0,7.9,26,25
30/03/1965,0,9.2,28,24
31/03/1965,0,6.9,27,24.5
1/4/65,0,4.2,29,24
2/4/65,0,6.1,29,23
3/4/65,0,9.2,27,23
4/4/65,0,9.6,27,24
5/4/65,0,7.3,27.5,25
6/4/65,0,5.9,27.5,24
7/4/65,0,7.8,28,25
8/4/65,0,8.7,27.5,25
9/4/65,0,9.1,27,25
10/4/65,0,4.6,27.5,25
11/4/65,0,7.2,29,25
12/4/65,0,5.1,28,24
13/04/1965,0,7.2,27.5,25
14/04/1965,0,5.7,28,24.5
15/04/1965,0,5.8,27.5,25
16/04/1965,0,8.6,28,25
17/04/1965,0,8.7,27,23
18/04/1965,0,7,28,24
19/04/1965,0,9,28.5,25
20/04/1965,3,3.1,27.5,25
21/04/1965,41,3.6,27,25
22/04/1965,15,3.7,26,18.5
23/04/1965,0,3.1,28,23
24/04/1965,0,6.8,27,22
25/04/1965,0,8.9,28,25
26/04/1965,0,2.3,28.5,24
27/04/1965,0,8.1,28,25
28/04/1965,0,8,27.5,25
29/04/1965,0,8.8,26,24
30/04/1965,0,4.2,27.5,23
1/5/65,0,7.6,26.5,22
2/5/65,0,3.6,27.5,24
3/5/65,0,11.3,27,25
4/5/65,1,9.3,28,24
5/5/65,0,10.5,28,25
6/5/65,1,6.5,29,23
7/5/65,0,8.1,28.5,25.5
8/5/65,0,11.1,28.5,25
9/5/65,0,11.2,28,25
10/5/65,0,4.6,28,24
11/5/65,0,8.7,27,25
12/5/65,0,9.2,27.5,23
13/05/1965,0,9.9,28,24
14/05/1965,0,9.1,28.5,23
15/05/1965,0,12.3,27.5,25
16/05/1965,0,9.1,28,24
17/05/1965,0,9.2,29,25
18/05/1965,0,6.8,28,26
19/05/1965,0,4.9,27.5,25
20/05/1965,0,8.9,28,26
21/05/1965,0,8.9,27.5,26
22/05/1965,61,8.8,26.5,24
23/05/1965,0,8.8,28.5,22
24/05/1965,10,7.1,27.5,24
25/05/1965,0,9.5,28,25
26/05/1965,0,9.9,28,26
27/05/1965,0,9.3,27.5,25
28/05/1965,0,7.9,28,25.5
29/05/1965,0,10.1,27.5,24
30/05/1965,0,7.3,28,23
31/05/1965,0,12.9,27.5,24
1/6/65,0,6.8,30,24
2/6/65,10,11.3,29,26
3/6/65,2,10.7,28.5,25
4/6/65,0,10.8,27.5,24
5/6/65,0,9.1,28,25
6/6/65,0,9.2,27,26
7/6/65,0,7.8,28,24
8/6/65,3.5,5.9,28,25
9/6/65,6,9,26.5,26
